"gene_id","G13_C_1","G13_C_2","G13_C_4","G13_N_1","G13_N_2","G13_N_3","G18_C_1","G18_C_2","G18_C_4","G18_N_1","G18_N_2","G18_N_3","G3_C_2","G3_C_3","G3_C_4","G3_N_1","G3_N_3","G3_N_4","G8_C_2","G8_C_3","G8_C_4","G8_N_1","G8_N_2","G8_N_3"
"Zm00001eb000010",678,536,520,524,417,676,362,354,230,725,535,385,333,549,973,934,332,400,576,803,687,512,568,474
"Zm00001eb000020",104,74,75,67,55,52,63,148,51,84,128,68,67,74,70,112,20,43,68,92,51,58,54,31
"Zm00001eb000050",69,46,81,75,51,76,2,0,0,0,0,1,0,0,1,8,0,3,0,0,0,0,0,0
"Zm00001eb000060",400,356,441,588,259,516,163,375,144,271,477,252,218,319,623,287,164,276,420,743,370,185,318,229
"Zm00001eb000070",10,14,10,37,14,14,60,12,29,61,33,46,7,9,16,9,5,13,39,61,18,15,40,24
"Zm00001eb000080",548,664,499,783,579,532,312,1104,231,410,681,720,517,810,846,726,426,475,759,1151,1088,763,929,705
"Zm00001eb000100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000110",0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000120",0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,3,0,4,11,7,8,2,5,0
"Zm00001eb000140",31,35,22,80,60,92,17,83,25,62,36,76,41,26,44,11,10,18,40,63,47,31,45,117
"Zm00001eb000150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000170",1214,1171,1274,1721,1174,1318,566,825,470,810,878,726,976,1513,1933,1573,945,1112,1064,1783,1053,638,1004,507
"Zm00001eb000180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000190",529,516,494,764,443,603,204,378,152,375,328,235,329,396,492,478,264,395,333,468,357,205,388,185
"Zm00001eb000200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000210",527,567,549,851,645,791,233,501,183,350,512,378,373,515,574,588,309,464,369,692,462,321,429,427
"Zm00001eb000220",1066,1043,671,890,846,1032,456,595,229,939,960,758,509,825,718,1127,482,699,788,1199,1027,874,1035,1275
"Zm00001eb000230",334,287,419,349,323,451,235,334,136,319,360,351,221,318,454,400,160,257,397,584,381,217,360,424
"Zm00001eb000240",45,41,193,95,74,139,140,114,73,171,180,160,131,280,218,165,147,224,143,519,208,91,250,71
"Zm00001eb000250",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
"Zm00001eb000270",10,13,9,5,18,24,504,351,226,581,548,396,188,243,659,425,256,584,33,22,31,10,8,3
"Zm00001eb000290",0,2,3,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000300",1,4,0,2,0,0,75,231,49,120,228,99,150,198,248,171,97,109,185,285,262,199,193,73
"Zm00001eb000310",0,8,1,4,5,0,156,150,115,216,234,161,183,294,585,325,191,299,356,619,233,180,312,108
"Zm00001eb000320",976,844,1040,1024,715,1064,253,468,182,318,279,294,290,328,379,350,153,193,389,418,327,231,270,188
"Zm00001eb000330",128,84,88,140,92,125,69,91,59,125,160,104,108,133,109,148,99,105,130,269,187,135,139,102
"Zm00001eb000340",704,524,773,1284,855,1027,445,621,327,691,693,501,437,843,1436,1174,564,832,1182,1735,935,760,1070,571
"Zm00001eb000360",1,0,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,4,3,1
"Zm00001eb000390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000400",2,18,11,10,4,7,3,1,6,8,8,3,2,11,3,17,3,2,5,0,12,0,2,0
"Zm00001eb000410",3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0
"Zm00001eb000420",144,327,299,263,298,325,83,246,104,138,346,259,285,367,409,379,264,308,253,433,293,136,253,200
"Zm00001eb000430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000450",0,0,0,0,0,0,0,3,3,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000460",0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,5,0,1,0,0
"Zm00001eb000470",3,0,0,2,1,0,0,1,1,0,4,0,0,0,0,1,0,0,1,0,0,5,0,8
"Zm00001eb000480",7376,4235,5298,12727,6882,6567,3584,4922,2161,5553,5897,4677,3899,5309,6727,8492,2806,5470,6080,8288,6601,4956,5506,4445
"Zm00001eb000490",0,0,10,5,1,10,0,0,0,9,5,0,11,0,1,18,1,2,0,0,1,2,2,0
"Zm00001eb000500",20,60,80,28,50,69,23,69,46,46,71,60,67,106,103,56,34,76,70,170,77,44,67,102
"Zm00001eb000510",1332,1557,1317,812,867,960,1814,3030,1083,3403,4307,2550,989,1578,2017,1100,717,924,1583,2216,1619,845,1585,1224
"Zm00001eb000520",1082,760,991,1153,923,925,662,889,409,977,997,827,524,825,1219,1367,599,971,981,1774,971,678,974,434
"Zm00001eb000530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000540",1,2,5,0,0,0,0,0,3,11,0,0,0,3,0,0,0,2,151,261,245,146,173,177
"Zm00001eb000550",259,319,207,110,166,146,99,235,102,174,261,222,232,295,328,263,98,218,175,289,293,121,126,255
"Zm00001eb000560",391,403,337,318,254,275,78,205,65,141,155,125,0,0,0,0,0,0,346,535,430,272,416,231
"Zm00001eb000570",200,237,184,179,216,173,172,362,128,259,274,288,146,180,257,258,109,224,551,911,519,371,424,468
"Zm00001eb000580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000590",806,686,692,1108,1052,971,556,897,477,1126,1126,940,459,784,987,1226,560,966,759,1584,993,689,1056,751
"Zm00001eb000600",1,5,0,0,0,0,0,7,3,0,1,4,0,0,0,0,3,0,9,0,0,0,0,0
"Zm00001eb000620",5259,4820,4039,3781,2936,4073,1518,3807,1015,2420,4375,2394,2615,3522,3862,2970,1544,2880,2871,3395,3603,1327,1882,2207
"Zm00001eb000630",0,5,0,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000640",96,91,100,190,127,188,57,61,31,83,76,39,36,43,58,59,25,62,91,67,95,74,50,58
"Zm00001eb000650",106,98,108,118,109,111,19,47,15,47,41,19,35,34,63,57,25,60,47,44,49,24,45,38
"Zm00001eb000660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,34,6,15,23,11
"Zm00001eb000670",915,771,663,924,593,844,496,906,269,621,919,670,773,720,839,901,338,456,968,1131,1076,757,761,859
"Zm00001eb000680",0,0,0,0,0,6,0,2,0,0,1,1,0,0,4,1,1,0,8,0,0,4,2,5
"Zm00001eb000690",128,260,176,161,129,104,135,335,146,181,253,149,240,261,332,433,147,252,335,490,411,318,257,242
"Zm00001eb000700",561,532,546,628,694,730,217,428,131,371,437,297,432,474,498,540,208,351,406,600,570,346,387,374
"Zm00001eb000710",174,220,152,154,243,200,56,88,50,104,158,110,93,118,180,147,59,102,142,180,156,110,176,145
"Zm00001eb000720",79,33,46,130,49,74,28,25,11,39,25,8,29,57,52,56,13,28,29,28,48,15,24,24
"Zm00001eb000740",974,1226,551,257,504,385,533,874,406,626,633,499,909,562,603,587,273,372,838,650,985,332,626,313
"Zm00001eb000750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000760",500,769,425,99,213,137,239,535,239,613,627,494,623,475,473,239,244,229,475,924,716,231,789,546
"Zm00001eb000770",2922,2086,2451,4877,2978,3804,849,1560,479,1253,1486,938,1976,1907,1684,1744,696,1170,1177,1743,1410,826,1411,905
"Zm00001eb000780",925,758,781,958,875,857,285,609,205,624,514,447,455,508,647,761,289,517,821,1054,974,552,760,717
"Zm00001eb000790",236,130,210,615,280,539,95,86,40,167,138,99,81,101,197,195,41,38,194,137,138,87,220,99
"Zm00001eb000800",446,465,433,571,609,663,189,330,137,310,448,258,261,356,613,815,290,487,392,688,398,299,442,485
"Zm00001eb000810",0,0,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Zm00001eb000820",577,553,485,629,481,453,339,535,201,562,509,417,284,362,401,501,217,285,451,686,599,382,479,323
"Zm00001eb000830",0,0,0,0,0,0,100,288,70,119,173,156,2,0,2,2,0,0,2,12,4,6,33,62
"Zm00001eb000840",0,0,0,8,0,0,41,81,30,28,57,69,0,0,0,0,0,0,0,0,0,2,0,0
"Zm00001eb000850",65,192,384,32,29,108,39,149,53,104,129,122,163,250,525,153,27,64,641,83,290,241,99,461
"Zm00001eb000860",853,699,828,1356,937,1011,558,776,338,768,832,628,428,566,835,1037,346,636,769,990,670,438,497,369
"Zm00001eb000870",787,541,734,1455,861,965,587,751,485,1106,1063,796,476,811,1159,1436,641,1020,810,1612,779,640,921,402
"Zm00001eb000880",1,3,7,22,16,20,0,0,0,4,20,6,4,0,2,5,1,0,0,3,7,2,3,0
"Zm00001eb000890",0,0,8,14,0,13,3,0,1,0,1,0,62,91,132,130,70,80,4,0,5,2,2,5
"Zm00001eb000900",3,3,11,59,1,13,1,0,0,5,4,2,2,15,6,15,0,3,27,0,6,5,13,0
"Zm00001eb000910",154,84,126,187,120,175,46,94,30,120,64,62,108,118,206,220,90,114,67,79,68,78,84,82
"Zm00001eb000920",2688,1931,1871,2300,2119,2145,1070,1540,645,2212,2108,1729,1054,1602,2226,2416,1174,1709,1713,2700,2360,1308,1808,1600
"Zm00001eb000930",58,101,62,12,18,21,108,176,60,150,251,190,32,59,83,68,104,83,52,67,36,37,69,31
"Zm00001eb000940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb000960",33,6,40,33,22,50,4,17,6,29,33,10,15,16,18,19,18,9,10,30,16,9,32,12
"Zm00001eb000970",37,35,56,52,31,48,10,13,11,27,14,25,36,10,32,50,5,20,45,69,26,95,50,19
"Zm00001eb000980",108,79,109,278,159,247,189,460,149,417,469,331,153,211,277,457,180,144,135,197,140,164,183,129
"Zm00001eb000990",10,0,5,8,5,0,6,12,2,8,12,5,45,66,61,34,26,32,17,3,10,9,6,7
"Zm00001eb001000",1034,739,833,1339,1206,1340,378,772,337,660,751,564,625,849,965,1180,561,789,510,832,622,477,678,388
"Zm00001eb001010",13,14,36,53,22,40,14,36,12,40,50,32,92,56,101,70,29,48,29,47,9,38,31,4
"Zm00001eb001020",24,25,79,20,45,54,28,6,31,38,55,21,7,13,34,9,10,13,27,60,27,20,57,50
"Zm00001eb001030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,6,3,19
"Zm00001eb001040",534,593,788,1313,897,1649,294,466,202,669,733,414,334,533,668,771,368,496,418,676,551,441,477,406
"Zm00001eb001050",72,69,74,86,105,120,155,251,112,146,194,183,52,82,112,87,36,51,191,273,188,113,161,317
"Zm00001eb001060",210,127,352,1281,609,1257,421,1087,158,837,940,568,173,1061,1051,1216,1127,634,163,584,155,437,990,553
"Zm00001eb001070",325,300,524,492,331,566,202,407,146,252,300,236,280,445,533,321,193,337,323,620,359,116,206,200
"Zm00001eb001090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Zm00001eb001100",0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001110",634,580,457,730,596,587,328,617,205,558,580,369,394,422,528,730,314,383,484,750,476,386,510,403
"Zm00001eb001120",1500,778,546,1598,931,667,1068,887,251,1298,688,912,257,299,345,1079,202,202,622,673,1128,959,851,635
"Zm00001eb001130",811,492,470,743,495,470,423,489,218,522,449,381,391,417,473,894,151,207,556,718,560,490,380,279
"Zm00001eb001140",30,63,20,10,20,31,9,29,7,78,167,67,150,82,80,22,21,44,65,32,47,35,18,18
"Zm00001eb001150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001170",743,849,855,482,1052,1279,375,967,242,1396,1571,1006,808,1058,1069,1300,787,754,268,287,335,209,383,279
"Zm00001eb001180",18,11,1,20,5,9,236,371,112,477,466,267,422,553,878,624,352,313,468,288,485,143,343,287
"Zm00001eb001190",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001200",1721,2356,1787,981,1391,1146,1031,1402,832,1467,1811,1521,1604,1733,2643,1765,835,1343,1608,1713,1799,911,1203,1362
"Zm00001eb001210",0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"Zm00001eb001220",18,21,32,6,16,12,10,0,1,10,2,0,2,0,5,21,3,0,51,12,23,16,3,0
"Zm00001eb001230",0,0,0,0,0,0,2,0,0,4,0,2,0,3,0,0,0,0,0,3,0,2,1,3
"Zm00001eb001240",242,174,365,649,524,530,64,133,77,160,150,98,237,332,411,405,212,275,275,384,314,168,303,240
"Zm00001eb001250",1,1,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"Zm00001eb001260",54,16,40,35,39,73,41,52,18,55,76,53,36,32,62,88,22,29,34,17,67,45,28,64
"Zm00001eb001270",268,219,272,609,402,491,278,543,163,337,410,349,152,225,324,412,153,208,532,647,495,373,551,381
"Zm00001eb001280",4,3,33,6,0,2,162,10,28,68,7,19,3,33,149,47,2,7,80,10,42,30,5,6
"Zm00001eb001290",607,598,626,628,552,621,318,451,242,458,457,396,289,466,579,451,244,384,617,749,564,356,530,502
"Zm00001eb001300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001340",237,201,201,353,196,190,25,22,5,8,11,8,69,82,82,155,68,100,162,274,234,138,154,159
"Zm00001eb001350",127,94,108,106,109,145,29,64,27,65,20,24,48,75,51,61,36,36,55,46,70,17,41,36
"Zm00001eb001360",441,288,327,488,438,454,170,225,78,258,187,227,158,261,266,310,134,166,259,259,255,187,247,244
"Zm00001eb001370",58,43,47,48,57,57,24,14,17,27,41,19,35,23,27,34,25,12,18,51,29,38,33,29
"Zm00001eb001400",1299,1408,1433,1901,1397,1951,597,1009,400,803,1082,822,909,1099,1171,1181,442,743,1130,1395,1146,630,829,1156
"Zm00001eb001410",8,16,7,9,4,32,76,107,61,128,123,93,108,98,232,120,56,67,25,20,19,10,12,0
"Zm00001eb001420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001430",1715,1082,1453,3030,2229,2312,747,821,546,1152,1047,969,948,1266,2154,1942,802,1663,1125,1612,946,815,993,571
"Zm00001eb001440",1,0,23,17,1,42,5,2,0,0,7,5,6,1,5,8,4,7,6,12,3,7,5,24
"Zm00001eb001460",68,68,67,35,45,69,22,70,24,57,55,42,49,34,48,27,13,23,22,47,38,20,31,42
"Zm00001eb001470",150,163,131,159,154,203,68,83,51,120,108,96,131,123,144,201,68,91,150,243,143,157,207,197
"Zm00001eb001480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001490",525,822,302,195,262,124,333,485,311,588,712,438,213,320,548,465,275,436,758,1042,609,398,640,662
"Zm00001eb001500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001510",15,15,17,45,31,22,5,22,14,17,20,22,22,23,16,34,16,27,33,56,52,40,73,37
"Zm00001eb001520",17,7,3,8,4,2,4,9,10,12,10,13,1,11,14,9,0,6,9,24,17,18,25,14
"Zm00001eb001530",194,297,349,175,85,115,196,324,112,240,347,247,331,412,513,289,183,226,104,210,224,160,153,199
"Zm00001eb001550",15,48,39,43,19,18,77,152,38,122,111,84,28,45,23,24,19,17,81,87,66,36,113,20
"Zm00001eb001560",10,11,31,43,14,40,7,20,6,18,56,16,31,29,52,31,28,20,59,32,23,56,57,28
"Zm00001eb001570",776,704,1082,1695,684,1016,1267,2196,833,1744,2511,1912,982,1195,1838,1781,868,1245,1326,2285,1390,797,1181,759
"Zm00001eb001580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001590",2199,2082,2097,891,637,837,66,85,33,40,35,30,175,182,201,103,47,58,274,420,428,110,120,73
"Zm00001eb001600",49,39,43,74,46,110,40,74,22,86,101,53,92,66,66,58,52,59,43,85,53,29,56,35
"Zm00001eb001610",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001630",0,0,0,0,0,0,0,0,0,0,2,2,0,4,10,0,6,1,0,3,1,4,0,0
"Zm00001eb001640",279,296,232,169,142,175,310,433,106,461,576,286,474,466,573,285,264,200,1078,757,1054,346,1078,855
"Zm00001eb001650",1533,1950,1090,609,580,523,421,739,282,894,757,694,1228,889,1219,441,387,731,1435,1371,1571,614,1116,1301
"Zm00001eb001660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Zm00001eb001670",378,619,346,575,433,514,31,180,22,70,171,93,185,127,202,125,45,124,222,294,284,219,184,271
"Zm00001eb001680",1235,1391,1334,1510,1331,1477,906,1646,679,1473,1546,1201,1258,1759,1677,1745,715,1046,901,1249,1031,871,815,1155
"Zm00001eb001690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001700",139,155,172,224,203,254,43,117,33,83,78,69,138,212,225,222,117,169,113,216,159,73,104,142
"Zm00001eb001710",173,196,185,354,225,223,61,131,52,173,125,111,188,167,172,193,73,118,227,218,240,207,198,145
"Zm00001eb001720",94,101,42,97,18,43,35,64,13,38,40,26,30,24,19,64,10,21,24,20,18,13,5,0
"Zm00001eb001740",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001760",167,43,89,625,286,451,187,243,91,592,465,291,127,90,103,1233,246,175,140,215,139,324,258,187
"Zm00001eb001770",4009,3246,3625,6894,3372,7102,1457,2548,1013,2066,2836,1967,1821,2255,2336,3409,1521,1664,2158,3857,2356,2717,3044,1594
"Zm00001eb001780",842,359,545,2008,880,1884,37,97,48,128,271,102,328,336,316,354,153,308,299,401,358,240,424,135
"Zm00001eb001790",2,14,5,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001800",5,9,5,18,7,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Zm00001eb001810",822,531,632,1812,813,822,213,248,200,346,287,204,454,425,600,586,218,351,428,472,439,255,352,213
"Zm00001eb001820",14,4,0,7,4,11,0,0,0,9,12,6,12,11,19,95,25,16,2,1,1,58,13,1
"Zm00001eb001830",8,11,7,39,27,18,13,8,1,8,11,8,16,11,21,21,10,12,2,0,0,0,0,0
"Zm00001eb001840",1439,1374,1086,678,450,870,964,1272,757,1315,1266,889,1510,1680,2586,1023,735,777,1536,1665,1586,591,1443,846
"Zm00001eb001860",566,428,386,527,612,547,180,328,107,314,232,209,238,394,469,753,191,328,328,461,481,235,238,275
"Zm00001eb001870",480,612,503,580,579,711,323,503,202,585,669,493,431,385,699,597,282,421,599,718,604,355,601,629
"Zm00001eb001880",362,420,337,615,316,409,146,272,83,261,239,184,176,256,498,403,151,242,356,418,427,418,339,286
"Zm00001eb001890",142,181,135,157,193,202,291,723,241,395,456,390,279,254,445,290,143,222,61,75,48,26,75,67
"Zm00001eb001900",321,213,241,708,405,549,82,140,47,164,200,146,167,144,225,295,97,105,461,486,454,252,411,220
"Zm00001eb001910",84,70,107,108,95,121,61,117,63,141,200,75,140,172,235,147,94,124,166,226,216,116,165,152
"Zm00001eb001920",3,1,12,2,6,3,7,3,3,9,16,25,1,11,5,11,4,3,0,0,0,0,0,0
"Zm00001eb001940",2233,2217,2396,1474,1647,820,794,1156,472,952,806,929,2070,1873,1677,2235,497,864,3342,3522,4148,1399,2273,2004
"Zm00001eb001950",3693,5406,2413,333,316,397,3112,5513,1855,3836,3695,3646,6380,5368,5566,2199,1715,2801,6823,5120,6590,2428,3611,4673
"Zm00001eb001960",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb001980",49,86,55,70,75,112,59,84,21,62,67,57,70,76,75,57,33,45,58,94,61,27,65,53
"Zm00001eb001990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"Zm00001eb002000",578,474,479,617,550,461,444,571,249,606,623,385,275,469,573,626,303,430,579,951,491,354,646,508
"Zm00001eb002010",4,0,7,12,4,5,2,4,0,0,0,3,6,0,10,1,0,0,22,6,4,2,1,4
"Zm00001eb002020",42,12,17,19,16,20,34,30,27,85,36,45,11,8,10,48,9,11,30,61,15,20,31,50
"Zm00001eb002030",0,2,4,2,9,7,5,0,5,2,20,15,0,7,26,26,2,4,7,9,7,7,6,0
"Zm00001eb002040",495,255,299,664,514,452,131,255,86,245,263,195,179,254,287,325,131,232,305,418,351,266,231,257
"Zm00001eb002050",0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Zm00001eb002060",194,172,286,435,461,344,233,587,153,510,499,356,761,920,1294,1352,550,849,752,853,675,325,519,432
"Zm00001eb002070",94,90,58,88,76,115,50,131,19,74,81,53,64,50,132,91,51,69,39,55,67,38,58,81
"Zm00001eb002080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb002090",69,57,91,46,19,42,12,28,10,39,35,39,41,18,27,30,11,11,31,32,21,19,54,66
"Zm00001eb002100",1208,1071,2118,1821,1357,2047,759,1280,634,1408,1625,1175,558,1114,1942,2287,1164,1706,6437,10883,5005,4912,6839,3647
"Zm00001eb002140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb002150",31,39,26,22,35,19,1,3,0,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb002170",193,89,155,138,135,166,29,27,16,48,37,31,69,107,164,222,51,59,103,87,114,97,63,59
"Zm00001eb002180",515,270,397,227,167,142,294,192,124,306,176,155,168,240,703,2842,125,161,428,302,449,533,173,118
"Zm00001eb002190",1587,1187,922,453,345,322,868,922,571,1398,1586,1255,742,717,684,577,346,333,604,955,863,888,879,551
"Zm00001eb002200",52,23,34,22,20,31,8,13,4,13,11,11,8,1,5,52,34,7,43,29,13,43,20,14
"Zm00001eb002210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb002220",682,397,717,1041,899,995,281,458,175,483,457,319,372,406,683,587,230,502,448,599,459,296,316,362
"Zm00001eb002240",11,17,35,31,40,72,4,36,0,17,21,8,35,33,48,51,31,37,7,10,18,3,11,28
"Zm00001eb002250",952,892,627,241,288,748,365,847,212,596,520,348,209,349,227,329,181,221,849,1656,1147,1373,1332,1121
"Zm00001eb002260",988,939,825,749,797,900,551,831,418,912,830,713,591,776,1174,1315,557,882,1148,1906,1295,755,1042,727
"Zm00001eb002270",96654,103450,92929,24135,22601,40254,36706,68967,27156,40634,42950,40971,56905,68414,61383,20787,19154,27009,111981,107738,92751,31526,66645,45463
"Zm00001eb002280",294,152,95,6,0,1,3,4,3,1,4,0,17,16,7,0,0,0,31,0,21,6,1,0
"Zm00001eb002290",42,59,40,20,7,7,28,39,20,39,33,16,20,6,24,14,11,19,38,33,36,20,13,19
"Zm00001eb002300",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb002310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb002320",896,835,1031,1258,711,1208,339,865,201,637,822,705,652,834,668,691,286,390,597,576,609,389,428,461
"Zm00001eb002330",0,0,0,0,0,0,3,8,1,16,6,4,5,26,6,10,16,15,0,0,0,0,0,0
"Zm00001eb002340",1,0,0,0,4,5,0,0,0,0,0,2,2,0,7,0,1,0,1,4,6,3,1,13
"Zm00001eb002350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb002360",0,0,0,0,0,0,5,0,0,2,5,1,56,46,40,61,19,37,0,0,0,0,0,0
"Zm00001eb002370",3,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb002380",19,9,150,491,169,542,64,143,63,313,214,238,37,81,87,107,58,62,76,198,91,79,63,38
"Zm00001eb002390",5,20,14,5,0,4,0,0,0,24,0,4,12,4,7,0,0,6,2,0,0,0,0,0
"Zm00001eb002410",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"Zm00001eb002420",1124,331,752,488,329,387,568,765,253,628,358,380,208,262,343,269,68,157,569,1492,809,176,218,277
"Zm00001eb002430",614,435,536,967,690,609,512,743,353,886,735,583,369,516,851,1093,417,744,601,877,628,412,514,427
"Zm00001eb002440",19,5,11,9,1,1,25,58,2,32,32,30,10,17,16,8,2,4,7,4,19,7,11,6
"Zm00001eb002450",376,413,389,210,187,368,212,365,129,245,290,259,223,244,391,210,168,190,221,387,292,94,182,265
"Zm00001eb002460",272,224,333,307,256,241,194,233,99,310,326,222,203,303,618,419,200,299,324,396,228,195,214,194
"Zm00001eb002470",100,76,118,71,104,160,67,96,30,76,94,75,140,173,128,84,52,88,103,220,124,51,123,90
"Zm00001eb002480",25,60,65,52,36,51,18,41,25,67,56,45,50,78,127,83,44,45,82,107,79,50,127,143
"Zm00001eb002490",1483,1948,1768,1148,1447,2063,1122,2309,885,1876,2420,1650,891,1955,2836,2249,1369,1974,1560,3456,1704,1069,1889,1698
"Zm00001eb002510",16271,12233,17688,7808,6154,7691,9182,8578,4320,8641,11651,8674,4869,6560,9718,3583,3455,3035,22363,24805,22701,5641,17359,6103
"Zm00001eb002520",47,16,19,104,116,98,3,0,0,0,0,4,58,23,64,56,28,37,0,0,0,0,0,0
